repo,grounding_accuracy,hallucination_rate,keyword_accuracy,latency_p50_ms,latency_p95_ms,mrr,ndcg@10,ndcg@5,phase,recall@10,recall@20,recall@5,total,verifier_accuracy
httpx,0.5625,0.0,0.3125,535.1020829984918,1410.7237909993273,0.3681318681318681,0.3394662279699527,0.31540065227647796,0,0.38461538461538464,0.38461538461538464,0.3333333333333333,13,0.6
flask,0.4,0.0,0.2,847.568749999482,1412.3184580021189,0.22712418300653595,0.1740034230145537,0.15331306114715543,0,0.20588235294117646,0.20588235294117646,0.1568627450980392,17,
fastapi,0.6,0.0,0.4,403.15999999802443,847.0211660023779,0.16666666666666666,0.09869397032195508,0.09869397032195508,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,3,
