repo,claim_grounding_rate,diversity_score,grounding_accuracy,hallucination_rate,input_tokens_per_question,keyword_accuracy,latency_p50_ms,latency_p95_ms,mrr,ndcg@10,ndcg@5,phase,recall@10,recall@10_dense,recall@10_hybrid,recall@10_sparse,recall@20,recall@5,total,verifier_accuracy
httpx,0.9375,0.3692307692307692,0.8125,0.0,2274.6875,0.625,1990.3781249886379,3764.863999997033,0.8423076923076922,0.851777041593704,0.7999035584434473,6,0.9743589743589743,0.9743589743589743,0.9230769230769231,0.5512820512820513,0.9743589743589743,0.8589743589743589,13,1.0
flask,0.875,0.5058823529411764,0.55,0.0,3186.0,0.25,2539.6161249955185,4027.3574579914566,0.858288770053476,0.7718771017228101,0.728801390211714,6,0.8676470588235294,0.7843137254901961,0.8676470588235294,0.6813725490196079,1.0,0.7745098039215685,17,
fastapi,0.95,0.6,0.8,0.0,11351.2,0.4,4208.883000013884,12065.485250001075,0.7000000000000001,0.6996753885934183,0.5884535456628739,6,0.8333333333333334,0.3333333333333333,0.5555555555555555,0.2222222222222222,0.8333333333333334,0.5555555555555555,3,
