repo,claim_grounding_rate,diversity_score,grounding_accuracy,hallucination_rate,input_tokens_per_question,keyword_accuracy,latency_p50_ms,latency_p95_ms,mrr,ndcg@10,ndcg@5,phase,recall@10,recall@10_dense,recall@10_hybrid,recall@10_sparse,recall@20,recall@5,total,verifier_accuracy
httpx,0.875,0.38461538461538464,0.5625,0.0,2591.3125,0.5625,1011.8952499979059,1381.3116249984887,0.8525641025641026,0.8561249580609318,0.8179527402135532,5,0.9743589743589743,0.9487179487179488,0.8974358974358974,0.5512820512820513,0.9743589743589743,0.8846153846153846,13,1.0
flask,0.9029126213592233,0.5882352941176471,0.65,0.0,3439.45,0.3,1752.0622920001188,2440.6605000003765,0.8328664799253034,0.7606012109328617,0.7078947198253147,5,0.8676470588235294,0.8823529411764706,0.8284313725490197,0.6029411764705882,0.9411764705882353,0.7352941176470589,17,
fastapi,0.9375,0.4666666666666666,0.8,0.0,14455.0,0.6,1904.7154580002825,2148.653291998926,0.7000000000000001,0.7032534595796238,0.5884535456628739,5,0.8333333333333334,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.8333333333333334,0.5555555555555555,3,
